source,destiny,category
7161326948,7160871215,1
7161326948,1699135222,1
7161326948,8487685750,1
7161326948,9265474128,1
7161326948,261109749,2
7161326948,2787305599,2
7161326948,8487685694,2
7161326948,5492833391,2
7161326948,8502214106,3
7161326948,2206441950,3
7161326948,8495194847,3
7161326948,4408699779,3
7161326948,258956044,4
7161326948,2340027740,4
7161326948,4227056702,4
7161326948,371310950,4
7161326948,9309565848,5
7161326948,9251471260,5
7161326948,5678317913,5
7161326948,9309565899,5
7161326948,8622704077,6
7161326948,391349635,6
7161326948,5263979279,6
7161326948,5638279910,6
7161326948,4075284824,7
7161326948,5834841234,7
7161326948,261197252,7
7161326948,2188936102,7
5498434064,9242098670,1
5498434064,353711680,1
5498434064,5493344154,1
5498434064,261332107,1
5498434064,5498401914,2
5498434064,2178993448,2
5498434064,6782460235,2
5498434064,5493304632,2
5498434064,277671156,3
5498434064,1438083133,3
5498434064,3235330422,3
5498434064,9159483044,3
5498434064,1438358906,4
5498434064,272595144,4
5498434064,261195081,4
5498434064,261237393,4
5498434064,2202662027,5
5498434064,2169870845,5
5498434064,2163426731,5
5498434064,2114814588,5
5498434064,406157054,6
5498434064,4069473030,6
5498434064,6597119517,6
5498434064,3629797532,6
5498434064,353785782,7
5498434064,2271191182,7
5498434064,261191242,7
5498434064,5495765957,7
1633509281,367756469,1
1633509281,3974452997,1
1633509281,2196788666,1
1633509281,369888219,1
1633509281,1831519769,2
1633509281,365053495,2
1633509281,2196812825,2
1633509281,261132170,2
1633509281,261151542,3
1633509281,365212215,3
1633509281,5495541713,3
1633509281,353786669,3
1633509281,495674289,4
1633509281,708148866,4
1633509281,2325122999,4
1633509281,309816153,4
1633509281,261301667,5
1633509281,1720710428,5
1633509281,5192163081,5
1633509281,5362738523,5
1633509281,391349640,6
1633509281,2399641204,6
1633509281,368975247,6
1633509281,5688259822,6
1633509281,353713588,7
1633509281,9239379939,7
1633509281,261160867,7
1633509281,261199431,7
261122102,4626530334,1
261122102,2426852377,1
261122102,261122109,1
261122102,5498715688,1
261122102,2480086461,2
261122102,261155534,2
261122102,7739020085,2
261122102,367763461,2
261122102,261257100,3
261122102,261331209,3
261122102,261115087,3
261122102,469191893,3
261122102,4640828567,4
261122102,540530285,4
261122102,5495770156,4
261122102,2412370704,4
261122102,2280683630,5
261122102,5493418640,5
261122102,1317490993,5
261122102,5493418621,5
261122102,261152765,6
261122102,2336660741,6
261122102,8794188875,6
261122102,2282204756,6
261122102,2286587304,7
261122102,5710403582,7
261122102,1396144789,7
261122102,261141754,7
3409732496,365281693,1
3409732496,365214864,1
3409732496,1719825989,1
3409732496,2400637259,1
3409732496,1437938432,2
3409732496,2197098154,2
3409732496,1343286926,2
3409732496,261132201,2
3409732496,261163508,3
3409732496,393554422,3
3409732496,5495969425,3
3409732496,1733496296,3
3409732496,2398738733,4
3409732496,2156648492,4
3409732496,2229599320,4
3409732496,5114771791,4
3409732496,2345130252,5
3409732496,7618450287,5
3409732496,369881368,5
3409732496,261147449,5
3409732496,4261520067,6
3409732496,4424122503,6
3409732496,6902460642,6
3409732496,1831519830,6
3409732496,418527753,7
3409732496,2099948750,7
3409732496,261214354,7
3409732496,1346037912,7
5493541437,367734229,1
5493541437,5493541449,1
5493541437,261316035,1
5493541437,5493569850,1
